source,target
Volume Control Preferences,Preferencias del Control de volumen
Select the device and track to control.,Seleccione el dispositivo y pista para controlar.
Modem Monitor,Monitor del módem
Activate and monitor a dial-up network connection,Activar y monitorizar una conexión de marcado telefónico
Activate,Activar
Deactivate,Desactivar
Properties,Propiedades
"Connection active, but could not get connection time","Conexión activa, pero no se pudo obtener el tiempo de conexión"
Time connected: %.1d:%.2d,Tiempo conectado: %.1d:%.2d
Not connected,Desconectado
"To connect to your Internet service provider, you need administrator privileges","Para conectarse a su proveedor de servicios de Internet, necesita privilegios de administrador"
"To disconnect from your Internet service provider, you need administrator privileges","Para desconectarse de su proveedor de servicios de Internet, necesita privilegios de administrador"
The entered password is invalid,La contraseña introducida no es válida
"Check that you have typed it correctly and that you haven't activated the ""caps lock"" key",Comprueba que la ha tecleado correctamente y que no ha activado la tecla «Bloq. Mayús.»
Do you want to connect?,¿Desea conectarse?
Do you want to disconnect?,¿Desea desconectarse?
Connect,Conectar
Disconnect,Desconectar
Could not launch network configuration tool,No se pudo lanzar la herramienta de configuración de red
Check that it's installed in the correct path and that it has the correct permissions,Comprueba que está instalado en la ruta correcta y que tienen los permisos correctos
Applet for activating and monitoring a dial-up network connection.,Miniaplicación para activar y monitorizar una conexión de red de marcado telefónico.
Enter password,Introduzca la contraseña
Password:,Contraseña:
Connecting with Internet Service Provider,Conectando con el proveedor de servicios de Internet
System Monitor,Monitor del sistema
A system load indicator,Un indicador de carga del sistema
Open System Monitor,Abrir el monitor del sistema
"A system load monitor capable of displaying graphs for CPU, ram, and swap space use, plus network traffic.","Un monitor de carga del sistema capaz de mostrar gráficos para la CPU, RAM y del uso del espacio intercambio, además del tráfico de red."
There was an error executing '%s': %s,Ha ocurrido un error al ejecutar «%s» : %s
Processor,Procesador
Memory,Memoria
Network,Red
Swap Space,Espacio de intercambio
Load Average,Carga media
Disk,Disco
%s: %u%% in use by programs %u%% in use as cache,%s: %u%% en uso por programas %u%% en uso como caché
The system load average is %0.02f,La carga media del sistema es del %0.02f
%s: Receiving %s Sending %s,%s: Recibiendo %s Enviando %s
CPU Load,Carga CPU
Memory Load,Carga de memoria
Net Load,Carga de red
Swap Load,Carga del intercambio
Disk Load,Carga del disco
Enable CPU load graph,Activar el gráfico de carga de CPU
Enable memory load graph,Activar el gráfico de carga de memoria
Enable network load graph,Activar el gráfico de carga de la red
Enable swap load graph,Activar el gráfico de carga de intercambio
Enable load average graph,Activar el gráfico de promedio de carga
Enable disk load graph,Activar el gráfico de carga de disco
Applet refresh rate in milliseconds,Tasa de refresco de la miniaplicación en milisegundos
Graph size,Tamaño del gráfico
"For horizontal panels, the width of the graphs in pixels. For vertical panels, this is the height of the graphs.","Para los paneles horizontales, el ancho de los gráficos en píxeles, para los paneles verticales, esto es la altura de los gráficos."
Graph color for user-related CPU activity,El color del gráfico para la actividad de la CPU relacionada con el usuario
Graph color for system-related CPU activity,El color del gráfico para la actividad de la CPU relacionada con el sistema
Graph color for nice-related CPU activity,El color del gráfico para la actividad de la CPU relacionada con la prioridad
Graph color for iowait related CPU activity,El color del gráfico para la espera de E/S relacionada con la actividad de la CPU
CPU graph background color,Color de fondo del gráfico de carga de CPU
Graph color for user-related memory usage,El color del gráfico para el uso de memoria relacionado con el usuario
Graph color for shared memory,El color del gráfico para la memoria compartida
Graph color for buffer memory,El color del gráfico para la memoria del búfer
Graph color for cached memory,El color del gráfico para la memoria caché
Memory graph background color,Color de fondo del gráfico de uso de memoria
Graph color for input network activity,El color del gráfico para la actividad de entrada la red
Graph color for output network activity,El color del gráfico para la actividad de salida de la red
Graph color for loopback network usage,El color del gráfico para el uso local de la red
Network graph background color,Color de fondo del gráfico de red
Graph color for user-related swap usage,El color del gráfico para el uso de intercambio relativo al usuario
Swap graph background color,Color de fondo del gráfico del espacio de intercambio
Graph color for load average,El color del gráfico para el promedio de carga
Load graph background color,Color de fondo del gráfico de carga del sistema
Graph color for disk read,El color del gráfico para las lecturas de disco
Graph color for disk write,El color del gráfico para las escrituras de disco
Background color for disk load graph,Color del fondo para el gráfico de carga de disco
The desktop description file to execute as the system monitor,El archivo de descripción del escritorio que ejecutar como el monitor del sistema
%s/s,%s/s
Monitored Resources,Recursos monitorizados
Load,Carga
Harddisk,Disco duro
System monitor width:,Anchura del monitor del sistema:
System monitor height:,Altura del monitor del sistema:
System monitor update interval:,Intervalo de actualización del monitor del sistema:
milliseconds,milisegundos
User,Usuario
System,Sistema
Nice,Prioridad
IOWait,Espera E/S
Idle,Ocioso
Shared,Compartida
Buffers,Búferes
Cached,Cacheada
Free,Libre
In,Entrada
Out,Salida
Local,Local
Background,Fondo
Used,Usado
Average,Media
Read,Lectura
Write,Escritura
System Monitor Preferences,Preferencias del monitor del sistema
CD Player (Deprecated),Reproductor de CD (obsoleto)
Panel applet for playing audio CDs,Miniaplicación del panel para reproducir CDs de sonido
Inbox Monitor (Deprecated),Monitor de bandeja de entrada (obsoleto)
Alert you when new mail arrives,Avisarme cuando llegue correo nuevo
Volume Control (Deprecated),Control de volumen (obsoleto)
Null Applet Factory,Fábrica de miniaplicaciones nulas
Factory for deprecating applets,Fábrica para convertir miniaplicaciones en obsoletas
Wireless Link Monitor,Monitor de enlace inalámbrico
Monitor the quality of a wireless network link,Monitoriza la calidad de un enlace de red inalámbrico
Inbox Monitor,Monitor de la bandeja de entrada
CD Player,Reproductor de CD
Some panel items are no longer available,Algunos elementos del panel no estarán disponibles a partir de ahora
One or more panel items (also referred to as applets) are no longer available in the GNOME desktop.,Uno o más elementos del panel (también llamados miniaplicaciones) no están ya disponibles en el escritorio GNOME.
These items will now be removed from your configuration:,Estos elementos se quitarán de su configuración:
You will not receive this message again.,No recibirá este mensaje de nuevo.
Tomboy (ne Stickynotes),Tomboy (antes Notas adhesivas)
Tomboy (transparent upgrade from stickynotes),Tomboy (actualización transparente de notas adhesivas)
Sticky Notes Applet Factory,Fábrica miniaplicación de Notas adhesivas
Sticky Notes,Notas adhesivas
"Create, view, and manage sticky notes on the desktop","Crea, muestra y administra notas adhesivas en el escritorio"
New Note,Nota nueva
Hide Notes,Ocultar notas
Lock Notes,Bloquear las notas
Delete Notes,Borrar las notas
This note is locked.,Esta nota está bloqueada.
This note is unlocked.,Esta nota está desbloqueada.
Sticky Notes Preferences,Preferencias de las notas adhesivas
Default Note Properties,Propiedades predeterminadas de la nota
Choose a font to use for all sticky notes,Seleccione una tipografía para usar en todas las notas adhesivas
Pick a default sticky note font,Seleccione una tipografía predeterminada para la nota adhesiva
Font:,Tipografía:
Use font from the system theme,Usar la tipografía del tema del sistema
Note Color:,Color de la nota:
Font Color:,Color de la tipografía:
Choose a base color to use for all sticky notes,Seleccione un color base para usar con todas las notas adhesivas
Pick a default sticky note color,Seleccione un color predeterminado para la nota adhesiva
Use color from the system theme,Usar el color del tema del sistema
Specify the default height (in pixels) of new notes,Especifica la altura predeterminada (en píxeles) de las notas nuevas
Specify the default width (in pixels) of new notes,Especifica la anchura predeterminada (en píxeles) de las notas nuevas
Height:,Altura:
Behavior,Comportamiento
Force default color and font on notes,Forzar los colores y tipografías predeterminados en las notas
Choose if the default style is forced on all notes,Seleccione si se debe forzar el estilo predeterminado en todas las notas
Put notes on all workspaces,Colocar las notas en todas las áreas de trabajo
Choose if notes are visible on all workspaces,Elija si las notas serán visibles en todas las áreas de trabajo
Delete this sticky note?,Mostrar notas adhesivas
This cannot be undone.,Esta nota está desbloqueada.
Delete all sticky notes?,Mostrar notas adhesivas
Delete All,Borrar todas
Sticky Note,Nota adhesiva
Lock/Unlock note,Bloquear/Desbloquear la nota
Close note,Cerrar nota
Resize note,Redimensionar la nota
Sticky Note Properties,Propiedades de la nota adhesiva
Choose a font for the note,Seleccione una tipografía para la nota
Pick a font for the sticky note,Seleccione una tipografía para la nota adhesiva
Use default font,Usar la tipografía predeterminada
Choose a color for the note,Seleccione un color para la nota
Pick a color for the sticky note,Seleccione un color para la nota adhesiva
Use default color,Usar el color predeterminado
Specify a title for the note,Especifique un título para la nota
Title:,Título:
Default width for new notes,Anchura predeterminado para las notas nuevas
Default width for new sticky notes in pixels.,Anchura predeterminado en píxeles para las notas adhesivas nuevas.
Default height for new notes,Altura predeterminada para las notas nuevas
Default height for new sticky notes in pixels.,Altura predeterminada en píxeles para las notas adhesivas nuevas.
Default color for new notes,Color de predeterminado para las notas nuevas
"Default color for new sticky notes. This should be in html hex specification, for example ""#30FF50"".","Color predeterminado para las notas adhesivas nuevas. Este podría estar en especificación hexadecimal html, por ejemplo «#30FF50»."
Default color for font,Color de predeterminado para la tipografía
"Default font color for new sticky notes. This should be in html hex specification, for example ""#000000"".","Color predeterminado para la tipografía de las notas adhesivas nuevas. Este podría estar en especificación hexadecimal html, por ejemplo «#000000»."
Default font for new notes,Tipografía predeterminada para las notas nuevas
"Default font for new sticky notes. This should be a Pango Font Name, for example ""Sans Italic 10"".","Tipografía predeterminada para las notas adhesivas nuevas. Esto debería ser un nombre de tipografía Pango, por ejemplo «Sans Italic 10»."
Sticky notes' workspace stickyness,Adherencia del área de trabajo de las notas adhesivas
"Specifies whether the sticky notes are visible on ALL workspaces on the desktop, or not.","Especifica si las notas adhesivas son visibles en TODAS las áreas de trabajo del escritorio, o no."
Sticky notes' locked state,Estado de bloqueo de las notas adhesivas
Specifies whether the sticky notes are locked (non-editable) or not.,Especifica si las notas adhesivas están bloqueadas (no editables) o no.
Date format of note's title,Formato de fecha del título de la nota
"By default, sticky notes are given the current date as the title when they are created. This format is used; anything that can be parsed by strftime() is valid.","Por omisión, las notas adhesivas utilizan la fecha actual como título al crearse. Este es el formato utilizado. Cualquier formato que pueda ser analizado por strftime() es válido."
Whether to use the default system color,Define si se debe utilizar el color predeterminado del sistema
"If this option is disabled, a custom color can be used as the default color for all sticky notes.",Si esta opción esta deshabilitada se puede utilizar una color personalizado como el color predeterminado para todas las notas adhesivas.
Whether to use the default system font,Define si se debe utilizar la tipografía predeterminada del sistema
"If this option is disabled, a custom font can be used as the default font for all sticky notes.","Si esta opción está deshabilitada, se puede utilizar una tipografía personalizada como tipografía predeterminada para todas las notas adhesivas."
Whether to force the default color and font on all notes,Define si se debe forzar el uso del color y la tipografía predeterminada en todas las notas
"If this option is enabled, the custom colors and fonts that have been assigned to individual notes will be ignored.",Si esta opción esta habilitada los colores y tipografías personalizadas que han sido asignados a las notas individuales serán ignorados.
Whether to ask for confirmation when deleting a note,Define si se debe solicitar una confirmación cuando se está borrando una nota
Empty notes are always deleted without confirmation.,Las notas vacías siempre se borran sin confirmación.
Show sticky notes,Mostrar notas adhesivas
Sticky Notes for the GNOME Desktop Environment,Notas adhesivas para el «Entorno de Escritorio GNOME»
Trash,Papelera
Go to Trash,Ir a la papelera
Open Trash,Abrir papelera
Empty Trash,Vaciar papelera
No Items in Trash,No hay elementos en la papelera
Error while spawning nautilus: %s,Error al resucitar Nautilus: %s
A GNOME trash bin that lives in your panel. You can use it to view the trash or drag and drop items into the trash.,Un cubo de papelera que vive en su panel. Puede usarlo para ver la papelera o arrastrar y soltar elementos en la papelera.
Delete Immediately?,¿Borrar inmediatamente?
"Cannot move items to trash, do you want to delete them immediately?","No se pueden mover los elementos a la papelera, ¿quiere borrarlos inmediatamente?"
"Cannot move some items to trash, do you want to delete these immediately?","No se pueden mover algunos elementos a la papelera, ¿quiere borrar éstos inmediatamente?"
Trash Applet,Miniaplicación de la papelera
Removing item %s of %s,Eliminando elemento %s de %s
Removing: %s,Eliminando: %s
Empty all of the items from the trash?,¿Seguro que quiere vaciar todos los elementos de la papelera?
"If you choose to empty the trash, all items in it will be permanently lost. Please note that you can also delete them separately.","Si elije vaciar la papelera, todos los elementos dentro de ella se borrarán y se perderán para siempre. También puede borrarlos por separado."
Emptying the Trash,Vaciando la papelera
Battery Charge Monitor Preferences,Preferencias del monitor de carga de la batería
Appearance,Apariencia
(shows single image for status and charge),(muestra una sola imagen para el estado y la carga)
The battery level below which the battery is displayed as red. Also the value at which the low battery warning is displayed.,El nivel de batería por debajo del cual ésta se muestra en rojo. También el valor en el cual se muestra la advertencia de batería baja.
Warn on low time rather than low percentage,Advertir cuando quede poco tiempo en vez de bajo porcentaje
Notify user when the battery is full.,Notificar al usuario cuando la batería esté cargada.
Beep for warnings,Pitar para los avisos
Beep when displaying a warning.,Pitar al mostrar un aviso
Gnome Panel applet for selecting strange characters that are not on my keyboard. Released under GNU General Public Licence.,Miniaplicación del panel de GNOME que permite seleccionar caracteres que no son accesibles directamente con el teclado. Distribuido bajo la Licencia Pública General GNU.
Monitor Settings,Ajustes del monitor
Display Settings,Ajustes del visor
Today,Hoy
5 Days,5 días
3 Months,3 meses
6 Months,6 meses
1 Year,1 año
5 Years,5 años
Maximum,Máximo
Label,Etiqueta
Size,Tamaño
Root password required,Se requiere la contraseña de «root»
Keyboard Indicator (Deprecated),Indicador del teclado (obsoleto)
Inbox Monitor,Monitor del buzón de entrada
One or more panel items (also referred to as applets) are no longer available in the GNOME desktop.,Uno o más elementos del panel (también llamados miniaplicaciones) ya no están disponibles en el escritorio GNOME.
Delete this sticky note?,¿Borrar esta nota adhesiva?
This cannot be undone.,Esto no se puede deshacer.
Delete all sticky notes?,¿Borrar todas las notas adhesivas?
Sticky notes' workspace stickyness,Área de trabajo no pegadiza para las notas adhesivas
"If this option is disabled, a custom color can be used as the default color for all sticky notes.",Si esta opción está desactivada se puede utilizar una color personalizado como el color predeterminado para todas las notas adhesivas.
"If this option is disabled, a custom font can be used as the default font for all sticky notes.","Si esta opción está desactivada, se puede utilizar una tipografía personalizada como tipografía predeterminada para todas las notas adhesivas."
"If this option is enabled, the custom colors and fonts that have been assigned to individual notes will be ignored.",Si esta opción esta activada los colores y tipografías personalizadas que han sido asignados a las notas individuales se ignorarán.
Sticky Notes for the GNOME Desktop Environment,Notas adhesivas para el «Entorno de escritorio GNOME»
"Cannot move some items to trash, do you want to delete these immediately?","No se pueden mover algunos elementos a la papelera, ¿quiere borrar estos inmediatamente?"
Removing item %s of %s,Quitando el elemento %s de %s
Removing: %s,Quitando: %s
"If you choose to empty the trash, all items in it will be permanently lost. Please note that you can also delete them separately.","Si elije vaciar la papelera, todos los elementos dentro de ella se borrarán y se perderán para siempre. También puede borrarlos separadamente."
From:,Desde:
"0 for no label, 1 for percentage and 2 for time remaining.","0 para ninguna etiqueta, 1 para porcentaje y 2 para tiempo restante."
Battstat Factory,Fábrica para «Estado de la batería»Warn when battery charge drops to: [XX] percent
Average change: %s,Cambio promedio de las acciones %%: %+.2f%%
Positions balance: %s %s (%s),Balance de las posiciones: %+.2flast price
Delete Note...,Borrar la nota…
Lock Note,Bloquear la nota
Open the keyboard preferences dialog,Abrir el diálogo de preferencias del teclado
Cannot start Nautilus File Manager,No se puede iniciar el gestor de archivos Nautilus
Could not find Nautilus,No se pudo encontrar Nautilus
Directory in which the theme is located,Carpeta en la que se encuentra el tema
Invest Applet Factory,Fábrica de la miniaplicación Inversiones
Factory for creating the invest applet.,Fábrica para crear la miniaplicación de inversiones.
Line,Línea
Bar,Barra
Candle,Vela
Scale:,Escala:
Linear,Lineal
Logarithmic,Logarítmica
Add Group,Añadir grupo
Show stocks of index values,Mostrar las cotizaciones de los valores índice
"An index value, for instance the NASDAQ Composite (^IXIC), is based on a number of stocks. This option allows to also show the quotes of the stocks an index is based on.","Un valor índice, el NASDAQ Composite (^IXIC) por ejemplo, se basa en un número de cotizaciones. Esta opción permite mostrar también las acciones de la cotización en las que se basa un índice."
Hide charts in quotes list,Ocultar gráficos en la lista de acciones
A small chart image is shown next to each quote. The retrieval of each chart image causes network traffic. Hiding charts reduces the network bandwidth demand significantly.,Junto a cada acción se muestra un pequeño gráfico. La obtención de cada gráfico provoca tráfico de red. Ocultar estos gráficos reduce la demanda de ancho de banda de la red significativamente.
Source: Yahoo! Finance (at least 15 minutes delayed),Fuente: Yahoo! Finanzas (retraso de 15 minutos mínimo)
Currency,Divisa
Type the target currency to which all stock quotes will be converted to.,Escriba la divisa objetivo a la que se convertirán todas las acciones de la cotización.
Refresh,Actualizar
Currency Rate,Tipo de cambio
Stock Group,Grupo de cotizaciones
Delete entire stock group?,¿Eliminar el grupo de cotizaciones completo?stock group
This removes all stocks contained in this stock group! Do you really want to remove this stock group?,Esto elimina todas las cotizaciones de este grupo de cotizaciones. ¿Realmente quiere quitar este grupo de cotizaciones?
Average change: %s,Cambio promedio: %s
Positions balance: %s %s (%s),Balance de las posiciones: %s %s (%s)
Updated at %s,Actualizado el %slast price
Start system-monitor,Iniciar el monitor del sistema
Choose a font to use for all sticky notes,Seleccionar una tipografía para usar en todas las notas adhesivas
Choose a base color to use for all sticky notes,Seleccionar un color base para usar con todas las notas adhesivas
Hide notes when the desktop is clicked on,Ocultar las notas cuando el escritorio está pulsado
Choose whether to hide all notes when selecting on the desktop,Seleccionar si ocultar todas las notas al seleccionar en el escritorio
Choose if the default style is forced on all notes,Seleccionar si se debe forzar el estilo predeterminado en todas las notas
Choose if notes are visible on all workspaces,Seleccionar si las notas serán visibles en todas las áreas de trabajo
Choose a font for the note,Seleccionar una tipografía para la nota
Choose a color for the note,Seleccionar un color para la nota
Whether to use the default system color,Indica si se debe utilizar el color predeterminado del sistema
Whether to use the default system font,Indica si se debe utilizar la tipografía predeterminada del sistema
Whether to force the default color and font on all notes,Indica si se debe forzar el uso del color y la tipografía predeterminada en todas las notas
Whether to hide all notes when the desktop is selected,Indica si ocultar todas las notas cuando el escritorio está seleccionado
"If this option is enabled, selecting the desktop in any way will automatically hide all the open notes.","Si esta opción está activada, seleccionar el escritorio de cualquier forma ocultará automáticamente todas las notas abiertas."
Whether to ask for confirmation when deleting a note,Indica si se debe solicitar una confirmación cuando se está borrando una nota
Spinbutton for updating,Botón para actualizar
Update interval,Botón de intervalo de actualización
"The interval, in seconds, between automatic updates.",Tiempo en segundos entre las actualizaciones del estado
Display radar map,Activar el mapa de radar
Show notification,Notificaciones
Show notifications for critical weather conditions,Una aplicación del panel para monitorizar la meteorología local.
upower backend enabled.,Backend de HAL activado.
Error while spawning Nautilus: %s,Error al resucitar Nautilus: %s
DEFAULTLOCATION,Madrid (Barajas)LGAVDEFAULTCODE
DEFAULTCODE,LEMDDEFAULTZONE
DEFAULTZONE,----
DEFAULTRADAR,----
DEFAULTCOORDINATES,LEMD
km/h,Km/h
mmHg,mmHg
inHg,inHg
km,Km
mi,"miK"" (Kelvin), ""C"" (Celsius) and ""F"
DEFAULTTEMPUNIT,"Cm/s"" (meters per second), ""km/hmph"" (miles per hour) and ""knots"
DEFAULTSPEEDUNIT,"km/hkPa"" (kiloPascals), ""hPamb"" (millibars), ""mmHginHg"" (inches of mercury) and ""atm"
DEFAULTPRESSUREUNIT,"mmHgm"" (meters), ""km"" (kilometers) and ""mi"
DEFAULTDISTANCEUNIT,km
Update the data automatically,Actualizar los datos automáticamente
Determines whether the applet automatically updates its weather statistics or not.,Determina si la miniaplicación actualiza automáticamente sus estadísticas meteorológicas o no.
Update interval,Intervalo de actualización
"The interval, in seconds, between automatic updates.",El intervalo en segundos entre las actualizaciones automáticas.
Use metric units,Usar unidades métricas
Use metric units instead of english units.,Usa unidades métricas en vez de las unidades inglesas.
Distance unit,Unidad de distancia
The unit to use for visibility.,La unidad en que medir la visibilidad.
Pressure unit,Unidad de presión
The unit to use for pressure.,La unidad en la que medir la presión.
Speed unit,Unidad de velocidad
The unit to use for wind speed.,La unidad en que medir la velocidad del viento.
Temperature unit,Unidad de temperatura
The unit to use for temperature.,La unidad en la que medir la temperatura.
Display radar map,Mostrar el mapa de radar
Fetch a radar map on each update.,Obtener un mapa de radar con cada actualización.
Weather location information,Información meteorológica de una zona
Weather location information.,Información meteorológica de una zona.
Nearby city,Ciudad cercana
"Nearby major zone, such as a capital city, as found from http://git.gnome.org/cgit/libgweather/plain/data/Locations.xml.in","Zona mayor más próxima, como una capital, tal como se encuentra en http://svn.gnome.org/viewvc/libgweather/trunk/data/Locations.xml.in"
Zone location,Situación de la zona
"A unique zone for the city, as found from http://git.gnome.org/cgit/libgweather/plain/data/Locations.xml.in","Una zona única para la ciudad, tal como se encuentra en http://svn.gnome.org/viewvc/libgweather/trunk/data/Locations.xml.in"
Radar location,Zona de radar
"A three-digit-long code for retrieving radar maps from weather.com, found from http://git.gnome.org/cgit/libgweather/plain/data/Locations.xml.in","Un código de tres dígitos para obtener los mapas de radar desde weather.com, tal como los que se encuentran en http://svn.gnome.org/viewvc/libgweather/trunk/data/Locations.xml.in"
Weather for a city,Meteorología para una ciudad
The city that gweather displays information for.,La ciudad para la que gweather muestra información.
Location coordinates,Coordenadas de la zona
Latitude and longitude of your location expressed in DD-MM-SS[NS] DD-MM-SS[EW].,Latitud y longitud de su zona expresada en DD-MM-SS[NS] DD-MM-SS[EW].
Use custom url for the radar map,Usa una url personalizada para el mapa del radar
"If true, then retrieve a radar map from a location specified by the ""radar"" key.","Si es «true» (verdadero), entonces recupera un mapa de radar desde la dirección especificada por la clave «radar»."
Url for the radar map,Url para el mapa del radar
The custom url from where to retrieve a radar map.,La url personalizada desde donde recuperar un mapa de radar.timezone
Failed to get METAR data: %d %s.,Falló la obtención de los datos METAR: %d %s.
WeatherInfo missing location,Zona no existente para WeatherInfo
Variable,Variable
North,Norte
North - NorthEast,Norte - Noreste
Northeast,Noreste
East - NorthEast,Este - Noreste
East,Este
East - Southeast,Este - Sureste
Southeast,Sureste
South - Southeast,Sur - Sureste
South,Sur
South - Southwest,Sur - Suroeste
Southwest,Suroeste
West - Southwest,Oeste - Suroeste
West,Oeste
West - Northwest,Oeste - Noroeste
Northwest,Noroeste
North - Northwest,Norte - Noroeste
Invalid,Inválido
Clear Sky,Cielo despejado
Broken clouds,Nubosidad dispersa
Scattered clouds,Nubes dispersas
Few clouds,Algunas nubes
Overcast,"Cubierto de nubesblowing"" ""shallow"" ""partial"
Thunderstorm,Tormenta
Drizzle,Llovizna
Light drizzle,Llovizna ligera
Moderate drizzle,Llovizna moderada
Heavy drizzle,Llovizna abundante
Freezing drizzle,Llovizna helada
Rain,Lluvia
Light rain,Lluvia ligera
Moderate rain,Lluvia moderada
Heavy rain,Lluvia fuerte
Rain showers,Aguaceros
Freezing rain,Lluvia helada
Snow,Nieve
Light snow,Nieve ligera
Moderate snow,Nieve moderada
Heavy snow,Nieve abundante
Snowstorm,Tormenta de nieve
Blowing snowfall,Cascada de nieve
Snow showers,Aguanieve
Drifting snow,Corriente de nieve
Snow grains,Granizada
Light snow grains,Granizada ligera
Moderate snow grains,Granizada moderada
Heavy snow grains,Granizada abundante
Ice crystals,Cristales de hielo
Ice pellets,Bolitas de hielo
Few ice pellets,Pocas bolitas de hielo
Moderate ice pellets,Bolitas de hielo moderadas
Heavy ice pellets,Bolitas de hielo abundante
Ice pellet storm,Tormenta de bolitas de hielo
Showers of ice pellets,Chorros de bolitas de hielo
Hail,Pedrisco
Hailstorm,Tormenta de pedrisco
Hail showers,Pedrisco con lluvia
Small hail,Granizo pequeño
Small hailstorm,Pequeña tormenta de granizo
Showers of small hail,Granizo con lluvia
Unknown precipitation,Precipitación desconocida
Mist,Neblina
Fog,Niebla
Fog in the vicinity,Niebla en los alrededores
Shallow fog,Niebla muy gruesa
Patches of fog,Niebla dispersa
Partial fog,Niebla parcial
Freezing fog,Niebla helada
Smoke,Humo
Volcanic ash,Cenizas volcánicas
Sand,Arena
Blowing sand,Viento con arena
Drifting sand,Corriente de arena
Haze,Bruma
Blowing sprays,Cortina de rocío
Dust,Polvo
Blowing dust,Cortina de polvo
Drifting dust,Corriente de polvo
Squall,Chubasco
Sandstorm,Tormenta de arena
Sandstorm in the vicinity,Tormenta de arena en los alrededores
Heavy sandstorm,Tormenta de arena abundante
Duststorm,Tormenta de polvo
Duststorm in the vicinity,Tormenta de polvo en los alrededores
Heavy duststorm,Tormenta de polvo abundante
Funnel cloud,Nublado
Tornado,Tornado
Dust whirls,Remolino de polvo
Dust whirls in the vicinity,Remolino de polvo en los alrededores
"%a, %b %d / %H:%M",%a %d de %b / %H:%M
Unknown observation time,Hora de observación desconocida
%.1f °F,%.1f °F
%d °F,%d °F
%.1f °C,%.1f °C
%d °C,%d °C
%.1f K,%.1f K
%d K,%d K
%.f%%,%.f%%
%0.1f knots,%0.1f nudos
%.1f mph,%.1f mph
%.1f km/h,%.1f km/h
%.1f m/s,%.1f m/s
Beaufort force %.1f,Fuerza Beaufort %.1f
Calm,Calma
%s / %s,%s / %s
%.2f inHg,%.2f inHg
%.1f mmHg,%.1f mmHg
%.2f kPa,%.2f kPa
%.2f hPa,%.2f hPa
%.2f mb,%.2f mb
%.3f atm,%.3f atm
%.1f miles,%.1f millas
%.1f km,%.1f km
%.0fm,%.0fm
%H:%M,%H:%M
Retrieval failed,Ha fallado la obtención
Location Entry,Coordenadas de la zona
Greenwich Mean Time,timezone
Invalid,"Inválidoblowing"" ""shallow"" ""partial"
Overcast,Cubierto de nubes
Moderate sleet,Nieve moderada
Heavy sleet,Nieve abundante
Sleet storm,Tormenta de bolitas de hielo
Showers of sleet,Chorros de bolitas de hielo
"%a, %b %d / %H∶%M",%a %d de %b / %H:%M
URL for the radar map,Url para el mapa del radar
"The custom URL from where to retrieve a radar map, or empty for disabling radar maps.",La url personalizada desde donde recuperar un mapa de radar.
Default location,Situación de la zona
default:mm,Predeterminado
'knots',nudos
